epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1328.89,1.05541,0.85708,0.01192,0.87044,0.87496,0.92325,0.77093,0.70428,0.42998,0.00923,0.000848969,0.000848969,0.000848969
43,1360.11,1.0284,0.86046,0.01138,0.81779,0.85318,0.90112,0.73582,0.70153,0.52079,0.00903,0.000834822,0.000834822,0.000834822
44,1390.27,1.04195,0.79899,0.01089,0.91765,0.8364,0.92604,0.77738,0.67484,0.43688,0.00856,0.000820675,0.000820675,0.000820675
45,1421.05,1.00791,0.77782,0.01107,0.89866,0.86817,0.9257,0.78297,0.62212,0.42414,0.0077,0.000806528,0.000806528,0.000806528
46,1451.56,1.01916,0.8209,0.01107,0.88952,0.86128,0.92831,0.78119,0.69244,0.42496,0.00903,0.00079238,0.00079238,0.00079238
47,1482.63,1.0369,0.82712,0.0116,0.92044,0.82081,0.92574,0.77997,0.69357,0.44129,0.00905,0.000778233,0.000778233,0.000778233
48,1513.5,1.02602,0.81679,0.0112,0.86873,0.88476,0.92362,0.78811,0.64834,0.43393,0.00848,0.000764086,0.000764086,0.000764086
49,1543.5,1.0348,0.8055,0.01103,0.8634,0.89694,0.93026,0.76416,0.74993,0.42961,0.00957,0.000749939,0.000749939,0.000749939
50,1573.89,1.00715,0.78416,0.01094,0.84742,0.87497,0.91824,0.75764,0.72668,0.46329,0.00964,0.000735792,0.000735792,0.000735792
51,1604.26,1.02561,0.81884,0.01155,0.88168,0.84494,0.92011,0.77444,0.63975,0.45756,0.00861,0.000721645,0.000721645,0.000721645
52,1634.85,0.98188,0.76751,0.01113,0.89861,0.84855,0.9233,0.77164,0.68535,0.43677,0.0088,0.000707498,0.000707498,0.000707498
53,1666.74,1.01605,0.7527,0.01147,0.89201,0.8912,0.92897,0.78465,0.63836,0.41115,0.00798,0.000693351,0.000693351,0.000693351
54,1697.62,1.02038,0.78454,0.0115,0.91535,0.84663,0.92559,0.77745,0.69584,0.42841,0.00914,0.000679204,0.000679204,0.000679204
55,1729.22,0.99118,0.7775,0.01096,0.89537,0.90528,0.92361,0.79116,0.60982,0.39513,0.00758,0.000665057,0.000665057,0.000665057
56,1760.73,1.01702,0.78459,0.01115,0.88131,0.86015,0.9235,0.76193,0.65926,0.41523,0.00876,0.000650909,0.000650909,0.000650909
57,1791.94,0.97926,0.76166,0.01064,0.91767,0.85549,0.93289,0.79398,0.65283,0.40606,0.00813,0.000636762,0.000636762,0.000636762
58,1822.05,0.9775,0.76019,0.01084,0.90859,0.86753,0.93059,0.80432,0.59141,0.39983,0.00737,0.000622615,0.000622615,0.000622615
59,1855,0.9598,0.74659,0.01055,0.89391,0.87008,0.92556,0.77964,0.63474,0.42675,0.00781,0.000608468,0.000608468,0.000608468
60,1888.1,0.97635,0.75326,0.01074,0.89952,0.8594,0.91715,0.77058,0.64261,0.46751,0.0081,0.000594321,0.000594321,0.000594321
61,1919.32,0.97003,0.72792,0.01056,0.85299,0.90613,0.92221,0.78781,0.62401,0.42913,0.00808,0.000580174,0.000580174,0.000580174
62,1950.12,0.94132,0.71174,0.01022,0.8879,0.93849,0.93692,0.79071,0.62757,0.34695,0.00797,0.000566027,0.000566027,0.000566027
63,1983.17,0.97006,0.74515,0.01061,0.9078,0.91279,0.93803,0.8007,0.61942,0.3671,0.00772,0.00055188,0.00055188,0.00055188
64,2013.94,1.00604,0.78337,0.01082,0.91841,0.90247,0.9272,0.77235,0.71325,0.43175,0.00902,0.000537733,0.000537733,0.000537733
65,2045.07,0.97579,0.73421,0.01067,0.88514,0.88883,0.92677,0.78663,0.65532,0.45059,0.00819,0.000523586,0.000523586,0.000523586
66,2075.91,0.93883,0.70165,0.01048,0.89534,0.90306,0.93182,0.75648,0.77859,0.44577,0.00996,0.000509438,0.000509438,0.000509438
67,2106.44,0.9538,0.69889,0.01029,0.85758,0.93648,0.93245,0.79362,0.65716,0.40435,0.00827,0.000495291,0.000495291,0.000495291
68,2137.46,0.92014,0.69061,0.01018,0.91853,0.88924,0.94029,0.81503,0.59823,0.37531,0.00737,0.000481144,0.000481144,0.000481144
69,2169,0.95739,0.68832,0.0105,0.92514,0.89563,0.94246,0.81057,0.58774,0.37418,0.00721,0.000466997,0.000466997,0.000466997
70,2198.76,0.93491,0.66303,0.01003,0.91726,0.90673,0.94656,0.8176,0.5896,0.38451,0.00731,0.00045285,0.00045285,0.00045285
71,2229.45,0.92526,0.66469,0.01044,0.87619,0.90722,0.9327,0.80413,0.58373,0.42266,0.00723,0.000438703,0.000438703,0.000438703
72,2259.61,0.9021,0.68318,0.00994,0.90157,0.90858,0.93665,0.81186,0.58483,0.39832,0.00716,0.000424556,0.000424556,0.000424556
73,2291.15,0.9518,0.67681,0.01023,0.94872,0.87956,0.94399,0.81043,0.58829,0.36504,0.00738,0.000410409,0.000410409,0.000410409
74,2321.76,0.94342,0.70202,0.01023,0.91733,0.91718,0.93986,0.81806,0.58898,0.3597,0.00732,0.000396262,0.000396262,0.000396262
75,2352.48,0.9088,0.65135,0.0098,0.90293,0.91419,0.93502,0.80795,0.61837,0.39706,0.00785,0.000382115,0.000382115,0.000382115
76,2381.92,0.8791,0.63074,0.00953,0.89139,0.93367,0.93768,0.80082,0.58579,0.37412,0.00742,0.000367967,0.000367967,0.000367967
77,2412.65,0.88562,0.67747,0.00964,0.89354,0.89421,0.93287,0.80447,0.57372,0.40121,0.00709,0.00035382,0.00035382,0.00035382
78,2446.3,0.89594,0.63223,0.00985,0.93001,0.91316,0.94647,0.81044,0.58787,0.36493,0.00736,0.000339673,0.000339673,0.000339673
79,2476.69,0.91564,0.66856,0.01027,0.93373,0.87496,0.9452,0.8236,0.56953,0.36021,0.00709,0.000325526,0.000325526,0.000325526
80,2506.8,0.92197,0.66987,0.00988,0.92892,0.8895,0.9448,0.8161,0.58271,0.36266,0.00726,0.000311379,0.000311379,0.000311379
81,2538.21,0.88275,0.64814,0.00946,0.93722,0.87898,0.94563,0.81619,0.57763,0.35164,0.00724,0.000297232,0.000297232,0.000297232
82,2566.83,0.90784,0.63826,0.00984,0.92498,0.91905,0.93809,0.81769,0.56756,0.35747,0.00712,0.000283085,0.000283085,0.000283085
83,2597.78,0.88026,0.64049,0.0097,0.9099,0.92759,0.93699,0.808,0.58879,0.36896,0.00731,0.000268938,0.000268938,0.000268938
84,2630.59,0.85995,0.61604,0.00966,0.94,0.89694,0.9411,0.81459,0.58622,0.36357,0.00719,0.000254791,0.000254791,0.000254791
85,2662.63,0.87261,0.64315,0.00965,0.91197,0.90608,0.93778,0.81637,0.57596,0.37655,0.00714,0.000240644,0.000240644,0.000240644
86,2693.18,0.85361,0.60369,0.00933,0.89377,0.91998,0.93933,0.81319,0.58948,0.388,0.00729,0.000226497,0.000226497,0.000226497
87,2724.82,0.88208,0.61515,0.00954,0.90935,0.90342,0.94069,0.82037,0.55862,0.37275,0.00681,0.000212349,0.000212349,0.000212349
88,2756,0.91669,0.65502,0.01006,0.87918,0.91867,0.93774,0.80545,0.58671,0.38519,0.00729,0.000198202,0.000198202,0.000198202
89,2787.18,0.88504,0.64129,0.00932,0.90815,0.90179,0.9391,0.81243,0.56593,0.37502,0.00698,0.000184055,0.000184055,0.000184055
90,2819.1,0.87111,0.62272,0.00959,0.92991,0.89889,0.93878,0.80989,0.57359,0.38292,0.00708,0.000169908,0.000169908,0.000169908
91,2852.38,0.68088,0.34903,0.00912,0.87257,0.90959,0.9335,0.80863,0.57188,0.40964,0.00709,0.000155761,0.000155761,0.000155761
92,2878.7,0.66081,0.32371,0.00907,0.9003,0.89987,0.94317,0.81179,0.58783,0.37907,0.00731,0.000141614,0.000141614,0.000141614
93,2904.26,0.6617,0.30902,0.00908,0.92837,0.90954,0.94483,0.81897,0.56885,0.35369,0.00697,0.000127467,0.000127467,0.000127467
94,2930.59,0.66379,0.3073,0.00871,0.92987,0.88628,0.93965,0.81793,0.57323,0.37624,0.00698,0.00011332,0.00011332,0.00011332
