epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,480.112,0.62549,0.45627,0.00558,0.90182,0.87514,0.94296,0.8179,0.53403,0.38864,0.00654,0.000848969,0.000848969,0.000848969
43,491.637,0.6411,0.45003,0.00593,0.91862,0.91147,0.94038,0.82249,0.49938,0.3779,0.00587,0.000834822,0.000834822,0.000834822
44,502.692,0.61849,0.43956,0.00567,0.86912,0.93685,0.93319,0.82438,0.49135,0.39863,0.00575,0.000820675,0.000820675,0.000820675
45,513.234,0.62101,0.40774,0.00565,0.90704,0.92045,0.94164,0.82568,0.50549,0.36023,0.00616,0.000806528,0.000806528,0.000806528
46,523.908,0.63543,0.42393,0.00604,0.88508,0.88689,0.91861,0.79661,0.53996,0.45675,0.00658,0.00079238,0.00079238,0.00079238
47,535.51,0.64871,0.44246,0.00607,0.91116,0.85398,0.91777,0.79823,0.53397,0.41784,0.00642,0.000778233,0.000778233,0.000778233
48,547.069,0.63605,0.43336,0.00583,0.8649,0.85906,0.90772,0.7996,0.49911,0.47128,0.00594,0.000764086,0.000764086,0.000764086
49,558.058,0.61871,0.41299,0.00578,0.91025,0.88786,0.93226,0.81902,0.51001,0.40238,0.00589,0.000749939,0.000749939,0.000749939
50,568.864,0.62195,0.42631,0.00561,0.90265,0.91972,0.94643,0.8264,0.49764,0.38854,0.00606,0.000735792,0.000735792,0.000735792
51,579.777,0.61889,0.41991,0.00567,0.90598,0.89639,0.93201,0.82345,0.49132,0.39216,0.00573,0.000721645,0.000721645,0.000721645
52,590.636,0.59948,0.40848,0.00542,0.8886,0.89727,0.94039,0.82271,0.49265,0.38981,0.00578,0.000707498,0.000707498,0.000707498
53,601.49,0.59182,0.38188,0.00527,0.91817,0.87075,0.94913,0.83969,0.47421,0.35352,0.0054,0.000693351,0.000693351,0.000693351
54,612.168,0.59383,0.39059,0.00554,0.90413,0.89295,0.9421,0.82982,0.48322,0.40361,0.00562,0.000679204,0.000679204,0.000679204
55,622.732,0.57552,0.356,0.00532,0.90433,0.89447,0.93836,0.83235,0.46471,0.3751,0.00557,0.000665057,0.000665057,0.000665057
56,633.407,0.60523,0.38505,0.00552,0.86218,0.90472,0.93368,0.83168,0.48969,0.41183,0.00585,0.000650909,0.000650909,0.000650909
57,644.122,0.58382,0.35479,0.00539,0.88855,0.91047,0.94121,0.83083,0.46197,0.39191,0.00525,0.000636762,0.000636762,0.000636762
58,654.903,0.57795,0.3766,0.00532,0.92427,0.90131,0.94449,0.83137,0.49113,0.37395,0.0059,0.000622615,0.000622615,0.000622615
59,665.652,0.58118,0.37453,0.00543,0.92941,0.88497,0.94377,0.84038,0.46296,0.39778,0.0055,0.000608468,0.000608468,0.000608468
60,676.339,0.57052,0.35971,0.0053,0.93988,0.86553,0.9502,0.83959,0.47027,0.38661,0.00558,0.000594321,0.000594321,0.000594321
61,686.993,0.54324,0.36484,0.005,0.93907,0.86044,0.94185,0.82795,0.47685,0.40104,0.00561,0.000580174,0.000580174,0.000580174
62,698.002,0.58908,0.366,0.00516,0.86386,0.91469,0.93887,0.82683,0.48992,0.40022,0.00563,0.000566027,0.000566027,0.000566027
63,708.716,0.56268,0.36074,0.00505,0.85823,0.9404,0.94641,0.84804,0.45311,0.37616,0.00531,0.00055188,0.00055188,0.00055188
64,719.268,0.55547,0.36138,0.00506,0.87191,0.89144,0.93346,0.8392,0.47484,0.4184,0.00563,0.000537733,0.000537733,0.000537733
65,730.079,0.56014,0.34972,0.00507,0.89891,0.90659,0.94061,0.84117,0.46979,0.37731,0.00548,0.000523586,0.000523586,0.000523586
66,740.768,0.55272,0.32709,0.00502,0.90602,0.89228,0.94123,0.84362,0.46482,0.41204,0.0055,0.000509438,0.000509438,0.000509438
67,751.537,0.54573,0.35206,0.00503,0.88776,0.93189,0.94196,0.84453,0.47315,0.39459,0.00551,0.000495291,0.000495291,0.000495291
68,762.43,0.53778,0.34504,0.0051,0.93199,0.89205,0.93848,0.83966,0.46489,0.38441,0.00548,0.000481144,0.000481144,0.000481144
69,773.277,0.54832,0.33011,0.00474,0.88854,0.91701,0.93884,0.8421,0.47211,0.44786,0.00554,0.000466997,0.000466997,0.000466997
70,783.932,0.55422,0.33534,0.00501,0.87482,0.92213,0.93859,0.84,0.47784,0.43346,0.00577,0.00045285,0.00045285,0.00045285
71,794.821,0.53951,0.30815,0.00488,0.87823,0.91698,0.94444,0.84409,0.4873,0.38564,0.00589,0.000438703,0.000438703,0.000438703
72,805.706,0.55028,0.31469,0.00481,0.89355,0.91073,0.94168,0.8476,0.49057,0.37773,0.00591,0.000424556,0.000424556,0.000424556
73,817.168,0.53955,0.3171,0.00484,0.90231,0.90856,0.94718,0.85175,0.45814,0.3821,0.00544,0.000410409,0.000410409,0.000410409
74,828.91,0.54141,0.30584,0.00488,0.91007,0.87711,0.93599,0.84378,0.44921,0.40724,0.0053,0.000396262,0.000396262,0.000396262
75,840.153,0.52937,0.33123,0.00486,0.90755,0.90205,0.93873,0.83881,0.46268,0.41062,0.00544,0.000382115,0.000382115,0.000382115
76,851.094,0.53265,0.30662,0.00475,0.88016,0.92243,0.94306,0.84641,0.46247,0.41752,0.0055,0.000367967,0.000367967,0.000367967
77,861.805,0.50093,0.29537,0.00456,0.87503,0.91671,0.93922,0.84337,0.46689,0.40185,0.00546,0.00035382,0.00035382,0.00035382
78,872.572,0.53123,0.31272,0.0049,0.91447,0.91249,0.94316,0.85197,0.45902,0.37447,0.00537,0.000339673,0.000339673,0.000339673
79,883.437,0.52238,0.30382,0.00463,0.92898,0.90564,0.9442,0.84586,0.45508,0.37465,0.00537,0.000325526,0.000325526,0.000325526
80,894.151,0.5074,0.30022,0.00465,0.94427,0.89678,0.94303,0.85206,0.45601,0.36158,0.00542,0.000311379,0.000311379,0.000311379
81,904.899,0.52582,0.30938,0.00477,0.9487,0.92112,0.95514,0.86932,0.4456,0.34809,0.00527,0.000297232,0.000297232,0.000297232
82,915.527,0.52692,0.29009,0.0045,0.93032,0.90634,0.94883,0.86517,0.43921,0.36991,0.00515,0.000283085,0.000283085,0.000283085
83,926.371,0.53275,0.2966,0.00458,0.92132,0.90611,0.94407,0.85586,0.44544,0.37153,0.00524,0.000268938,0.000268938,0.000268938
84,937.136,0.50869,0.31202,0.00464,0.91899,0.92207,0.95152,0.85681,0.46724,0.34122,0.00539,0.000254791,0.000254791,0.000254791
85,948.01,0.50071,0.27767,0.00438,0.90508,0.93111,0.9537,0.87334,0.43944,0.33991,0.0051,0.000240644,0.000240644,0.000240644
86,958.716,0.50719,0.28552,0.00444,0.92731,0.89201,0.9493,0.86258,0.43014,0.35283,0.00503,0.000226497,0.000226497,0.000226497
87,969.684,0.50698,0.27978,0.00463,0.91972,0.9148,0.95265,0.86006,0.45322,0.36514,0.0054,0.000212349,0.000212349,0.000212349
88,980.328,0.49626,0.29345,0.00448,0.92223,0.91035,0.95407,0.86717,0.43779,0.35449,0.00516,0.000198202,0.000198202,0.000198202
89,991.408,0.47902,0.26532,0.00424,0.92376,0.93613,0.95565,0.86834,0.43412,0.33653,0.00512,0.000184055,0.000184055,0.000184055
90,1002.18,0.49089,0.30415,0.00451,0.92569,0.9302,0.95196,0.86574,0.44009,0.33149,0.00517,0.000169908,0.000169908,0.000169908
91,1039.54,0.39402,0.20099,0.00442,0.88577,0.90203,0.93507,0.84756,0.44917,0.41165,0.00532,0.000155761,0.000155761,0.000155761
92,1050.71,0.39459,0.18306,0.00437,0.90056,0.89648,0.94054,0.85129,0.47274,0.41813,0.00566,0.000141614,0.000141614,0.000141614
93,1061.06,0.38636,0.18227,0.00432,0.8885,0.91369,0.9426,0.85566,0.4634,0.39616,0.00556,0.000127467,0.000127467,0.000127467
94,1071.96,0.38434,0.19237,0.00446,0.8763,0.90985,0.93963,0.85308,0.44793,0.39918,0.00527,0.00011332,0.00011332,0.00011332
95,1082.59,0.36366,0.18103,0.00401,0.92941,0.85971,0.94631,0.86019,0.45126,0.39624,0.00528,9.91726e-05,9.91726e-05,9.91726e-05
96,1092.98,0.36526,0.18208,0.00403,0.91718,0.87368,0.9477,0.85631,0.45245,0.39769,0.00525,8.50255e-05,8.50255e-05,8.50255e-05
97,1103.53,0.36183,0.17489,0.00414,0.8891,0.93589,0.95063,0.85989,0.44182,0.38538,0.00513,7.08784e-05,7.08784e-05,7.08784e-05
98,1114.01,0.35611,0.17225,0.00408,0.91627,0.89416,0.95,0.86231,0.44702,0.38522,0.00521,5.67313e-05,5.67313e-05,5.67313e-05
99,1124.74,0.35469,0.173,0.00391,0.93139,0.8825,0.94868,0.86315,0.44558,0.37618,0.00526,4.25842e-05,4.25842e-05,4.25842e-05
100,1135.06,0.35709,0.17074,0.00398,0.89662,0.92142,0.95314,0.86314,0.43643,0.38696,0.00507,2.84371e-05,2.84371e-05,2.84371e-05
